Categoria: Todas as categorias

Região,usf: (13/07/2020 – 13/07/2021)
Bahia,100
São Paulo,57
Paraíba,51
Mato Grosso do Sul,42
Tocantins,40
Pernambuco,27
Amazonas,22
Minas Gerais,19
Goiás,15
Mato Grosso,15
Alagoas,13
Sergipe,12
Distrito Federal,12
Rio Grande do Norte,10
Paraná,10
Rio Grande do Sul,8
Pará,8
Ceará,7
Rio de Janeiro,7
Espírito Santo,5
Rondônia,4
Maranhão,4
Santa Catarina,3
Roraima,
Acre,
Piauí,
Amapá,
